Ticker,Component,Isin,Share,Industry
AC.PA,ACCOR,FR0000120404,,Consumer Discretionary
AI.PA,AIR LIQUIDE,FR0000120073,,Basic Materials
AIR.PA,AIRBUS,NL0000235190,,Industrials
MT.AS,ARCELORMITTAL SA,LU1598757687,,Basic Materials
CS.PA,AXA,FR0000120628,,Financials
BNP.PA,BNP PARIBAS ACT.A,FR0000131104,,Financials
EN.PA,BOUYGUES,FR0000120503,,Industrials
CAP.PA,CAPGEMINI,FR0000125338,,Technology
CA.PA,CARREFOUR,FR0000120172,,Consumer Staples
ACA.PA,CREDIT AGRICOLE,FR0000045072,,Financials
BN.PA,DANONE,FR0000120644,,Consumer Staples
DSY.PA,DASSAULT SYSTEMES,FR0014003TT8,,Technology
EDEN.PA,EDENRED,FR0010908533,,Industrials
ENGI.PA,ENGIE,FR0010208488,,Utilities
EL.PA,ESSILORLUXOTTICA,FR0000121667,,Health Care
ERF.PA,EUROFINS SCIENT.,FR0014000MR3,,Health Care
RMS.PA,HERMES INTL,FR0000052292,,Consumer Discretionary
KER.PA,KERING,FR0000121485,,Consumer Discretionary
OR.PA,L'OREAL,FR0000120321,,Consumer Discretionary
LR.PA,LEGRAND,FR0010307819,,Industrials
MC.PA,LVMH,FR0000121014,,Consumer Discretionary
ML.PA,MICHELIN,FR001400AJ45,,Industrials
ORA.PA,ORANGE,FR0000133308,,Telecommunications
RI.PA,PERNOD RICARD,FR0000120693,,Consumer Staples
PUB.PA,PUBLICIS GROUPE SA,FR0000130577,,Consumer Discretionary
RNO.PA,RENAULT,FR0000131906,,Industrials
SAF.PA,SAFRAN,FR0000073272,,Industrials
SGO.PA,SAINT GOBAIN,FR0000125007,,Industrials
SAN.PA,SANOFI,FR0000120578,,Health Care
SU.PA,SCHNEIDER ELECTRIC,FR0000121972,,Industrials
GLE.PA,SOCIETE GENERALE,FR0000130809,,Financials
STLAP.PA,STELLANTIS NV,NL00150001Q9,,Industrials
STMPA.PA,STMICROELECTRONICS,NL0000226223,,
TEP.PA,TELEPERFORMANCE,FR0000051807,,Industrials
HO.PA,THALES,FR0000121329,,Industrials
TTE.PA,TOTALENERGIES,FR0000120271,,Energy
URW.PA,UNIBAIL-RODAMCO-WE,FR0013326246,,Real Estate
VIE.PA,VEOLIA ENVIRON.,FR0000124141,,Utilities
DG.PA,VINCI,FR0000125486,,Industrials
VIV.PA,VIVENDI SE,FR0000127771,,Telecommunications
