Ticker,Component,Isin,Type,Account,Share,Industry
ACA.PA,CREDIT AGRICOLE,FR0000045072,STOCKS,PEE,815,Financials
WPEA.PA,MSCI WORLD,IE0002XZSHO1,ETF,PEA,1750,Global
UST.PA,NASDAQ 100,LU1829221024,ETF,CTO,60,Technology
AEME.PA,MSCI EMERGING,LU1437017350,ETF,CTO,35,Global
MC.PA,LVMH,FR0000121014,STOCKS,PEA,4,Consumer Cyclical
SAN.PA,SANOFI,FR0000120578,STOCKS,PEA,15,Health Care
STLAP.PA,STELLANTIS,NL00150001Q9,STOCKS,PEA,100,Consumer Cyclical
AIR.PA,AIRBUS,NL0000235190,STOCKS,PEA,10,Industrials
TTE.PA,TOTAL ENERGIES,FR0000120271,STOCKS,PEA,20,Energy
DG.PA,VINCI,FR0000125486,STOCKS,PEA,10,Industrials
AI.PA,AIR LIQUIDE,FR0000120073,STOCKS,PEA,10,Industrials
SU.PA,SCHNEIDER ELECTRIC,FR0000121972,STOCKS,PEA,5,Industrials
0P00018AOF.F,AMUNDI CONVICTIONS,QS0009116219,ETF,PEE,15.5,Global
0P00008W4R.F,AMUNDI TRESORERIE,QS0009083336,ETF,PEE,0.4,Money Market
